YEAR,TECHNOLOGY:Service,VALUE
2021,PSG,0.7256711417462001
2022,PSG,0.7677823537558887
2023,PSG,0.80979719814451
2024,PSG,0.8573745633894847
2025,PSG,0.9069375223062075
2026,PSG,0.9253969546596431
2027,PSG,0.9468965350369998
2028,PSG,0.9714157517798683
2029,PSG,0.9990233659401164
2030,PSG,1.0046566624333457
2031,PSG,1.0126622280356263
2032,PSG,1.0414790171589334
2033,PSG,1.0730801330106796
2034,PSG,1.1079208207369804
2035,PSG,1.1464104711147425
2036,PSG,1.1885329694326328
2037,PSG,1.2069523641158026
2038,PSG,1.2303866100906884
2039,PSG,1.2552858494643875
2040,PSG,1.283640925102191
2041,PSG,1.3243655519219557
2042,PSG,1.369291038330059
2043,PSG,1.4188672862343759
2044,PSG,1.4727031003278688
2045,PSG,1.5578847294654314
2046,PSG,1.6492872123449749
2047,PSG,1.7473299119885959
2048,PSG,1.8523645979187453
2049,PSG,1.9649224000427654
2050,PSG,1.9340072617961508
2051,PSG,1.8998391779044903
2052,PSG,2.037585855523877
2053,PSG,2.184672686486102
2054,PSG,2.3414999615253023
2055,PSG,2.5093232165217385
2021,FRT,1.6323117043740574
2022,FRT,1.6887849367887013
2023,FRT,1.7467745695872754
2024,FRT,1.8063686027697792
2025,FRT,1.8680577956945017
2026,FRT,1.9145130285040455
2027,FRT,1.9632106036125967
2028,FRT,2.0146034481575943
2029,FRT,2.0683826133223646
2030,FRT,2.1236401777887473
2031,FRT,2.182551766662096
2032,FRT,2.2440935766223324
2033,FRT,2.3077898083038533
2034,FRT,2.3740801442479094
2035,FRT,2.4435125884089772
2036,FRT,2.515067012878103
2037,FRT,2.5902044615110382
2038,FRT,2.668496015724667
2039,FRT,2.749851399036519
2040,FRT,2.83475289505919
2041,FRT,2.923298734318753
2042,FRT,3.014942146266282
2043,FRT,3.109123388683212
2044,FRT,3.2086453979194665
2045,FRT,3.3115306846565202
2046,FRT,3.417501011188811
2047,FRT,3.5290934133570997
2048,FRT,3.643760160133461
2049,FRT,3.762501553831527
2050,FRT,3.887409517232048
2051,FRT,4.0157757556908455
2052,FRT,4.14935120781023
2053,FRT,4.288585291166872
2054,FRT,4.431936280491796
2055,FRT,4.581779328013163
