YEAR,TECHNOLOGY:Service,VALUE
2021,PSG,0.7256711417461998
2022,PSG,0.7010715276689321
2023,PSG,0.7430863720575536
2024,PSG,0.7906637373025283
2025,PSG,0.8402266962192512
2026,PSG,1.199486691353583
2027,PSG,1.0543148056847578
2028,PSG,0.9769882347854043
2029,PSG,0.8933563004656622
2030,PSG,1.0989968173113105
2031,PSG,0.9836166612671193
2032,PSG,0.9538360723209833
2033,PSG,1.1328564230753035
2034,PSG,1.0976049880282266
2035,PSG,1.0801022486882224
2036,PSG,1.0547732258714024
2037,PSG,1.4416183742937458
2038,PSG,1.0623921633489064
2039,PSG,0.658489333476159
2040,PSG,0.24736598666410198
2021,FRT,1.6323117043740574
2022,FRT,1.6887849367887013
2023,FRT,1.7467745695872754
2024,FRT,1.806368602769779
2025,FRT,1.8680577956945017
2026,FRT,1.9152842236770322
2027,FRT,1.9634172882593077
2028,FRT,2.0128658802857426
2029,FRT,2.0271224819700966
2030,FRT,2.106838657917882
2031,FRT,2.15891785527467
2032,FRT,2.2120858611809653
2033,FRT,2.2658361403998017
2034,FRT,2.3205976045383667
2035,FRT,2.376798603625541
2036,FRT,2.433417972366149
2037,FRT,2.4918306715311527
2038,FRT,2.5515308922720368
2039,FRT,2.566923227592505
2040,FRT,2.5484168610675053
2041,FRT,2.5410554610427374
2042,FRT,2.534325234406727
2043,FRT,2.528860504899267
2044,FRT,2.5260941739708094
2045,FRT,2.5242301797663127
2046,FRT,2.5235665965292604
2047,FRT,2.577192466806685
2048,FRT,2.5376007995231937
2049,FRT,2.484009351982973
2050,FRT,2.428962813229378
2051,FRT,2.371137551782491
2052,FRT,2.0908181545467137
2053,FRT,1.8070332790457286
2054,FRT,1.5658953661663535
2055,FRT,1.6419327471187342
2041,PSG,0.2175261108196721
2042,PSG,0.2236211837704917
2043,PSG,0.2297424334426229
2044,PSG,0.2359135091803278
2045,PSG,0.2420911350819672
2046,PSG,0.2482966904918032
2047,PSG,0.2545536236065573
2048,PSG,0.2608173393442623
2049,PSG,0.2671072049180327
2050,PSG,0.2734499999999999
2051,PSG,0.279193346557377
2052,PSG,0.2850550386885246
2053,PSG,0.291042248852459
2054,PSG,0.2971531839344261
2055,PSG,0.3033932232786885
