YEAR,TECHNOLOGY:Type,VALUE
2021,COA,23.62195699308001
2022,COA,23.62195699308
2023,COA,23.62195699308
2024,COA,23.62195699308
2025,COA,56.32541182907999
2026,COA,65.13018813107999
2027,COA,66.43192484565905
2028,COA,66.43192484565903
2029,COA,66.43192484565901
2030,COA,66.43192484565901
2031,COA,66.43192484565901
2032,COA,66.43192484565901
2033,COA,66.43192484565897
2034,COA,66.43192484565897
2035,COA,66.43192484565901
2036,COA,66.43192484565901
2037,COA,66.431924845659
2038,COA,66.43192484565904
2039,COA,66.431924845659
2040,COA,66.43192484565901
2041,COA,66.43192484565901
2042,COA,66.43192484565901
2043,COA,66.43192484565903
2044,COA,66.43192484565904
2045,COA,66.43192484565763
2021,BIO,3.67331328
2022,BIO,3.67331328
2023,BIO,3.67331328
2024,BIO,3.673313280000001
2025,BIO,3.673313280000001
2026,BIO,3.67331328
2027,BIO,3.67331328
2028,BIO,3.67331328
2029,BIO,3.67331328
2030,BIO,3.67331328
2031,BIO,3.67331328
2032,BIO,3.67331328
2033,BIO,3.67331328
2034,BIO,3.67331328
2035,BIO,3.67331328
2036,BIO,3.67331328
2037,BIO,3.67331328
2038,BIO,3.673313280000001
2039,BIO,3.181351680000001
2040,BIO,3.18135168
2041,BIO,2.525402880000001
2042,BIO,2.525402880000001
2043,BIO,2.52540288
2044,BIO,2.525402880000001
2046,COA,601.1612506957904
2047,COA,601.1612506957902
2048,COA,601.1612506957903
2049,COA,601.1612506957897
2050,COA,601.1612506957904
2051,COA,601.1612506957903
2052,COA,601.1612506957905
2053,COA,601.1612506957902
2054,COA,601.1612506957903
2055,COA,141.9212466157904
2021,GAS,234.48276115257585
2022,GAS,253.86439922712003
2023,GAS,251.9672932917361
2024,GAS,192.90628387760404
2025,GAS,168.78227011331398
2026,GAS,143.51274716070603
2027,GAS,117.099826551675
2028,GAS,89.54192890882798
2029,GAS,60.839068260960005
2030,GAS,30.991793778000005
2021,DSL,827.9169608210148
2022,DSL,916.428101402553
2023,DSL,1136.5495909795843
2024,DSL,1033.71134481867
2025,DSL,1105.7538179641735
2026,DSL,1160.964810383046
2027,DSL,1211.1962016475318
2028,DSL,1264.7297317670875
2029,DSL,1321.4953141645203
2030,DSL,1381.8729007470652
2031,DSL,1446.1700386528037
2032,DSL,1516.454759404084
2033,DSL,1590.963718285847
2034,DSL,1670.087624409811
2035,DSL,1754.6148313261947
2036,DSL,1820.886432459716
2037,DSL,1837.249684346788
2038,DSL,1851.9566767143804
2039,DSL,1864.533730714944
2040,DSL,1877.1710744405896
2041,DSL,1832.5709500259927
2042,DSL,1795.2370855738145
2043,DSL,1754.9285402880078
2044,DSL,1712.736884976106
2045,DSL,1666.5057348959156
2046,DSL,1617.1645236943914
2047,DSL,1641.6891955220974
2048,DSL,1664.4116349712872
2049,DSL,1622.7815892425904
2050,DSL,1574.8243304618975
2051,DSL,1549.175805822421
2052,DSL,1380.2033656517133
2053,DSL,1202.6104825612374
2054,DSL,1179.61818564086
2055,DSL,1156.29442889419
2021,ETH,4.737025477829813
2022,ETH,4.46657182848
2023,ETH,3.927697073724001
2024,ETH,3.3994739271000007
2025,ETH,2.8819066239239994
2026,ETH,2.3749720715160008
2027,ETH,1.87869974031
2028,ETH,1.3930569298829998
2029,ETH,0.91805970996
2030,ETH,0.45370709784
2021,BDL,16.725595168101304
2022,BDL,17.305211560116025
2023,BDL,17.92057656157678
2024,BDL,18.576032279789523
2025,BDL,19.245002364435365
2026,BDL,19.575266572868188
2027,BDL,19.790042325129612
2028,BDL,20.02989823754552
2029,BDL,20.290558985854805
2030,BDL,20.574720110893992
2031,BDL,20.88542962326508
2032,BDL,21.24645469171027
2033,BDL,21.62813961530226
2034,BDL,22.03246536324192
2035,BDL,22.46597835169852
2036,BDL,22.630570778006085
2037,BDL,22.16638906831146
2038,BDL,21.69244245259809
2039,BDL,21.204626444270293
2040,BDL,20.728768632818348
2041,BDL,19.649955953723747
2042,BDL,18.692465975861587
2043,BDL,17.744356206111167
2044,BDL,16.817076160866836
2045,BDL,15.890060646290976
2046,BDL,14.973479581242977
2047,BDL,14.760440007421233
2048,BDL,14.530811357844632
