YEAR,TECHNOLOGY:TraMode,VALUE
2021,CAR,10.290000000000001
2022,CAR,10.909999999999998
2023,CAR,11.559999999999997
2024,CAR,12.260000000000002
2025,CAR,12.99
2026,CAR,13.281199999999998
2027,CAR,13.622600000000002
2028,CAR,14.013400000000008
2029,CAR,14.445300000000001
2030,CAR,14.945700000000004
2031,CAR,15.4961
2032,CAR,16.115700000000004
2033,CAR,16.794700000000002
2034,CAR,17.543300000000002
2035,CAR,18.370799999999996
2036,CAR,19.277100000000004
2037,CAR,20.2629
2038,CAR,21.328999999999997
2039,CAR,22.501899999999985
2040,CAR,23.76569999999999
2041,CAR,25.1378
2042,CAR,26.618999999999996
2043,CAR,28.2191
2044,CAR,29.939099999999996
2045,CAR,31.79759999999999
2046,CAR,33.7957
2047,CAR,35.9432
2048,CAR,38.2485
2049,CAR,40.72370000000001
2050,CAR,43.37800000000001
2051,CAR,46.2128
2052,CAR,49.2559
2053,CAR,52.50930000000001
2054,CAR,55.982400000000005
2055,CAR,59.704
2021,MCY,14.74
2022,MCY,15.62
2023,MCY,16.56
2024,MCY,17.55
2025,MCY,18.61
2026,MCY,19.02
2027,MCY,19.510200000000005
2028,MCY,20.060499999999998
2029,MCY,20.6903
2030,MCY,21.400199999999998
2031,MCY,22.189000000000004
2032,MCY,23.0767
2033,MCY,24.044499999999992
2034,MCY,25.12
2035,MCY,26.304800000000004
2036,MCY,27.599000000000004
2037,MCY,29.0112
2038,MCY,30.5426
2039,MCY,32.2211
2040,MCY,34.0306
2041,MCY,35.9971
2042,MCY,38.1141
2043,MCY,40.4076
2044,MCY,42.871300000000005
2045,MCY,45.53309999999998
2046,MCY,48.394400000000005
2047,MCY,51.4735
2048,MCY,54.7717
2049,MCY,58.310500000000005
2050,MCY,62.10740000000003
2051,MCY,66.17239999999998
2052,MCY,70.5272
2053,MCY,75.19060000000003
2054,MCY,80.16449999999999
2055,MCY,85.488
2021,BUS,7.72
2022,BUS,8.189999999999998
2023,BUS,8.68
2024,BUS,9.200000000000001
2025,BUS,9.750000000000004
2026,BUS,9.972969999999998
2027,BUS,10.2263
2028,BUS,10.5101
2029,BUS,10.842800000000002
2030,BUS,11.215700000000002
2031,BUS,11.628400000000001
2032,BUS,12.090899999999998
2033,BUS,12.602100000000002
2034,BUS,13.1634
2037,BUS,15.203000000000001
2038,BUS,16.010199999999994
2035,BUS,13.784000000000004
2036,BUS,14.463700000000005
2039,BUS,16.880299999999995
2040,BUS,17.8357
2041,BUS,18.862900000000003
2042,BUS,19.9776
2043,BUS,21.173900000000003
2044,BUS,22.467600000000004
2045,BUS,23.861600000000003
2046,BUS,25.364
2047,BUS,26.9766
2048,BUS,28.699900000000003
2049,BUS,30.560200000000005
2050,BUS,32.551
2051,BUS,34.68110000000001
2052,BUS,36.9616
2053,BUS,39.40169999999999
2054,BUS,42.0106
2055,BUS,44.8
2022,RAI,0.629
2023,RAI,0.7119400000000001
2024,RAI,0.7950300000000001
2025,RAI,0.8781299999999999
2026,RAI,0.92711
2027,RAI,0.9744099999999998
2028,RAI,1.02061
2029,RAI,1.06624
2030,RAI,1.11179
2031,RAI,1.15755
2032,RAI,1.20399
2033,RAI,1.2512100000000002
2034,RAI,1.2995599999999998
2035,RAI,1.3492700000000002
2036,RAI,1.4004200000000002
2037,RAI,1.45311
2038,RAI,1.50741
2039,RAI,1.5635599999999998
2040,RAI,1.6214599999999997
2041,RAI,1.68119
2042,RAI,1.74273
2043,RAI,1.80611
2044,RAI,1.87126
2045,RAI,1.93828
2046,RAI,2.0070600000000005
2047,RAI,2.07757
2048,RAI,2.14968
2049,RAI,2.2234700000000003
2050,RAI,2.29883
2051,RAI,2.37538
2052,RAI,2.45523
2053,RAI,2.53837
2054,RAI,2.6247600000000006
2055,RAI,2.71453
2021,AIR,0.6099999999999998
2022,AIR,0.6415499999999998
2023,AIR,0.6730999999999998
2024,AIR,0.7046599999999996
2025,AIR,0.7362099999999999
2026,AIR,0.7405099999999998
2027,AIR,0.7457999999999998
2028,AIR,0.7521499999999999
2029,AIR,0.7596199999999997
2030,AIR,0.7683099999999999
2031,AIR,0.7781799999999998
2032,AIR,0.7893500000000002
2033,AIR,0.8017199999999999
2034,AIR,0.81536
2035,AIR,0.8302999999999997
2036,AIR,0.8464700000000001
2037,AIR,0.8638499999999999
2038,AIR,0.8823899999999998
2039,AIR,0.9021700000000001
2040,AIR,0.9230600000000002
2041,AIR,0.94507
2042,AIR,0.96813
2043,AIR,0.99223
2044,AIR,1.01728
2045,AIR,1.04332
2046,AIR,1.0702600000000002
2047,AIR,1.09806
2048,AIR,1.12664
2049,AIR,1.15603
2050,AIR,1.18615
2051,AIR,1.2173
2052,AIR,1.2496499999999997
2053,AIR,1.28317
2054,AIR,1.31781
2055,AIR,1.35359
