YEAR,TECHNOLOGY:Type,VALUE
2021,GAS,16.913645000000002
2022,GAS,16.128145
2023,GAS,14.336103
2024,GAS,12.544061
2025,GAS,10.752088999999998
2026,GAS,8.960047
2027,GAS,7.168063
2028,GAS,5.376049
2029,GAS,3.584028
2030,GAS,1.792014
2021,DSLBDL,15.836355000000001
2022,DSLBDL,15.789786999999997
2023,DSLBDL,15.836672999999998
2024,DSLBDL,15.993175
2025,DSLBDL,16.179676999999998
2026,DSLBDL,16.417408999999996
2027,DSLBDL,16.703888
2028,DSLBDL,17.040390000000002
2029,DSLBDL,17.416891999999997
2030,DSLBDL,15.832804999999999
2031,DSLBDL,14.248741000000004
2032,DSLBDL,14.248741000000004
2033,DSLBDL,14.248741000000004
2034,DSLBDL,14.248741000000004
2035,DSLBDL,14.248741000000004
2036,DSLBDL,14.248741000000004
2037,DSLBDL,12.714392000000004
2038,DSLBDL,11.083442000000003
2039,DSLBDL,9.342852999999998
2040,DSLBDL,7.572287000000003
2041,DSLBDL,5.751698000000004
2042,DSLBDL,3.8811549999999975
2043,DSLBDL,1.9605659999999956
2022,ELC,3.431067999999997
2023,ELC,7.3391639999999985
2024,ELC,11.267794
2025,ELC,15.296363999999999
2026,ELC,19.413774000000004
2027,ELC,23.642369000000002
2028,ELC,27.960981
2029,ELC,32.4096
2030,ELC,39.008790999999995
2031,ELC,45.777969
2032,ELC,49.391068999999995
2033,ELC,53.194159
2034,ELC,57.22725899999998
2035,ELC,61.510359
2036,ELC,66.04345900000001
2037,ELC,72.370898
2038,ELC,79.064948
2039,ELC,86.18863700000001
2040,ELC,93.652293
2041,ELC,101.505982
2042,ELC,109.75962500000001
2043,ELC,118.44330400000001
2044,ELC,127.55696999999999
2045,ELC,135.15007000000003
2046,ELC,143.19316
2047,ELC,151.71626
2048,ELC,160.72935999999999
2049,ELC,170.29244999999997
2050,ELC,180.42554999999996
2051,ELC,191.14831
2052,ELC,202.52338
2053,ELC,214.58083000000002
2054,ELC,227.34073999999998
2055,ELC,240.88315999999998
2021,JET,0.6099999999999998
2022,JET,0.64155
2023,JET,0.6731
2024,JET,0.70466
2025,JET,0.7362099999999998
2026,JET,0.76776
2027,JET,0.79931
2028,JET,0.83086
2029,JET,0.8624099999999997
2030,JET,0.89397
2031,JET,0.8634699999999996
2032,JET,0.8950199999999994
2033,JET,0.9265699999999998
2034,JET,0.95812
2035,JET,0.98967
2036,JET,1.0212300000000003
2037,JET,1.0527799999999994
2038,JET,1.0843299999999996
2039,JET,1.115879999999999
2040,JET,1.1474299999999993
2041,JET,1.17898
2042,JET,1.2105400000000002
2043,JET,1.24209
2044,JET,1.27364
2045,JET,1.30519
2046,JET,1.33674
2047,JET,1.3682899999999996
2048,JET,1.39985
2049,JET,1.4314000000000002
2050,JET,1.4629499999999998
2051,JET,1.4949800000000002
2052,JET,1.5276699999999996
2053,JET,1.56106
2054,JET,1.59514
2055,JET,1.6299399999999995
2031,H2,0.0620500000000003
2032,H2,0.0620500000000003
2033,H2,0.0620500000000003
2034,H2,0.0620500000000003
2035,H2,0.0620500000000003
2036,H2,0.0620500000000003
2037,H2,0.0620500000000003
2038,H2,0.0620500000000003
2039,H2,0.0620500000000003
2040,H2,0.0620500000000003
2041,H2,0.0620500000000003
2042,H2,0.0620500000000003
2043,H2,0.0620500000000003
2044,H2,0.0620500000000003
2045,H2,0.0620500000000003
2046,H2,0.0620500000000003
2047,H2,0.0620500000000003
2048,H2,0.0620500000000003
2049,H2,0.0620500000000003
2050,H2,0.0620500000000003
2051,H2,0.0620500000000003
2052,H2,0.0620500000000003
2053,H2,0.0620500000000003
2054,H2,0.0620500000000003
2055,H2,0.0620500000000003
