TECHNOLOGY:Sector,YEAR,VALUE
PWR,2021,10.980999999999998
PWR,2022,10.981000000000002
PWR,2023,10.981
PWR,2024,10.98142681536
PWR,2025,22.862999999999996
PWR,2026,22.863
PWR,2027,22.862999999999992
PWR,2028,22.863
PWR,2029,22.863
PWR,2030,22.863
PWR,2031,22.863
PWR,2032,22.863
PWR,2033,22.862999999999992
PWR,2034,22.862999999999996
PWR,2035,22.863
PWR,2036,21.338999999999995
PWR,2037,19.815000000000005
PWR,2038,18.29
PWR,2039,16.766
PWR,2040,15.242
PWR,2041,13.717999999999998
PWR,2042,12.194
PWR,2043,10.669
PWR,2044,9.145
PWR,2045,7.621000000000001
PWR,2046,4.340000000000001
PWR,2047,3.254999999999999
PWR,2048,2.17
PWR,2049,1.085
TRA,2021,6.190352
TRA,2022,6.511004
TRA,2023,6.844500000000001
TRA,2024,7.1945120000000005
TRA,2025,7.562468
TRA,2026,7.435131000000001
TRA,2027,7.296760000000001
TRA,2028,7.223922000000001
TRA,2029,7.1437029999999995
TRA,2030,7.0995669999999995
TRA,2031,6.997596000000001
TRA,2032,6.8901140000000005
TRA,2033,6.770908
TRA,2034,6.634498
TRA,2035,6.456234000000002
TRA,2036,6.324933000000001
TRA,2037,6.160674
TRA,2038,5.965896000000001
TRA,2039,5.8354230000000005
TRA,2040,5.696280000000002
TRA,2041,5.579650000000001
TRA,2042,5.290901
TRA,2043,5.0624720000000005
TRA,2044,4.7725800000000005
TRA,2045,4.437283999999999
TRA,2046,4.318977
TRA,2047,4.111089
TRA,2048,3.8722409999999994
TRA,2049,3.603914
TRA,2050,3.4097959999999987
