TECHNOLOGY:Sector,YEAR,VALUE
PWR,2021,10.981
PWR,2022,10.981000000000002
PWR,2023,10.981000000000002
PWR,2024,10.98142681536
PWR,2025,27.944000000000003
PWR,2026,27.944000000000006
PWR,2027,27.94400000000001
PWR,2028,27.944000000000003
PWR,2029,27.944000000000006
PWR,2030,27.944000000000003
PWR,2031,27.944000000000003
PWR,2032,27.944000000000006
PWR,2033,27.944000000000006
PWR,2034,27.94400000000001
PWR,2035,27.94400000000001
PWR,2036,26.927
PWR,2037,25.91100000000001
PWR,2038,24.895000000000003
PWR,2039,23.879000000000005
PWR,2040,22.863
PWR,2041,21.847
PWR,2042,20.831000000000003
PWR,2043,19.815
PWR,2044,18.798000000000002
PWR,2045,17.782
PWR,2048,10.488
PWR,2046,11.934000000000001
PWR,2047,11.211
PWR,2049,9.763999999999998
PWR,2050,9.041
TRA,2021,6.190352
TRA,2022,6.511004
TRA,2023,6.844500000000001
TRA,2024,7.1945120000000005
TRA,2025,7.562468
TRA,2026,7.4838059999999995
TRA,2027,7.419192999999999
TRA,2028,7.280681
TRA,2029,7.209713999999998
TRA,2030,7.114161999999999
TRA,2031,7.03058
TRA,2032,6.958984999999998
TRA,2033,6.819342
TRA,2034,6.550382000000001
TRA,2035,6.308253999999998
TRA,2036,6.100371999999999
TRA,2037,5.874148000000001
TRA,2038,5.664785999999999
TRA,2039,5.452778
TRA,2040,5.239795
TRA,2041,5.063371000000001
TRA,2042,4.7627609999999985
TRA,2043,4.504970999999999
TRA,2044,4.177123
TRA,2045,3.880154999999999
TRA,2046,3.8031690000000005
TRA,2047,3.5916339999999995
TRA,2048,3.4586809999999932
TRA,2049,3.215172000000001
TRA,2050,2.8962840000000014
