TECHNOLOGY:Sector,YEAR,VALUE
PWR,2021,10.981000000000002
PWR,2022,10.981
PWR,2023,10.981000000000002
PWR,2024,13.289581760000003
PWR,2025,30.992000000000004
PWR,2026,30.992000000000004
PWR,2027,30.992000000000004
PWR,2028,30.992000000000004
PWR,2029,30.992000000000004
PWR,2030,30.99200000000001
PWR,2031,30.992000000000004
PWR,2032,30.992000000000004
PWR,2033,30.992000000000004
PWR,2034,30.992
PWR,2035,30.992000000000004
PWR,2036,30.992000000000004
PWR,2037,30.992000000000004
PWR,2038,30.992000000000004
PWR,2039,30.992
PWR,2040,30.484
PWR,2041,29.976000000000003
PWR,2042,29.468000000000004
PWR,2043,28.960000000000004
PWR,2044,28.45200000000001
PWR,2045,27.944
PWR,2046,19.529
PWR,2047,19.167
PWR,2048,18.806
PWR,2049,18.444
PWR,2050,18.082
TRA,2021,6.190351999999999
TRA,2022,6.511004
TRA,2023,6.844500000000001
TRA,2024,7.1945120000000005
TRA,2025,7.562468
TRA,2026,7.569863999999999
TRA,2027,7.5706620000000004
TRA,2028,7.560633
TRA,2029,7.556283999999999
TRA,2030,7.597432000000001
TRA,2031,7.579861000000001
TRA,2032,7.632975
TRA,2033,7.7195170000000015
TRA,2034,7.784279000000001
TRA,2035,7.727478
TRA,2036,7.662980999999999
TRA,2037,7.637090000000001
TRA,2038,7.608368
TRA,2039,7.618484
TRA,2040,7.657403
TRA,2041,7.675654000000001
TRA,2042,7.6556560000000005
TRA,2043,7.6393390000000005
TRA,2044,7.676722000000001
TRA,2045,7.702193
TRA,2046,7.932857
TRA,2047,8.110748000000003
TRA,2048,8.290619999999999
TRA,2049,8.513687000000001
TRA,2050,8.744921000000001
